OrderID,OrderDate,Region,Category,Channel,UnitsSold,UnitPrice,CustomerAge,Revenue
ORD1016,2024-01-12 16:52:54.348697,West,Clothing,In-Store,44,168.79,33.0,7426.76
ORD1080,2024-02-28 12:24:31.743486,Central,Groceries,In-Store,20,459.75,56.0,9195.0
ORD1185,2024-05-15 07:41:43.406813,West,Electronics,Online,13,131.54,38.0,1710.02
ORD1327,2024-08-27 04:31:15.751503,Central,Groceries,Online,8,438.67,41.0,3509.36
ORD1419,2024-11-02 11:35:28.256513,West,GROCERIES,Online,23,374.37,54.0,8610.51
ORD1304,2024-08-10 08:45:12.625250,East,Clothing,In-Store,7,478.87,34.0,3352.09
ORD1126,2024-04-02 03:56:37.995991,Central,Groceries,In-Store,37,407.81,47.0,15088.97
ORD1164,2024-04-29 23:02:17.074148,East,Home & Garden,Online,43,151.16,,6499.88
ORD1333,2024-08-31 13:51:06.132264,,Electronics,Online,18,185.58,68.0,3340.44
ORD1130,2024-04-05 02:09:51.583166,East,Sports,Online,5,126.8,50.0,634.0
ORD1127,2024-04-02 21:29:56.392785,West,Clothing,Online,48,58.91,72.0,2827.68
ORD1161,2024-04-27 18:22:21.883767,North,Clothing,Online,38,430.41,67.0,16355.58
ORD1073,2024-02-23 09:31:22.965931,South,Home & Garden,In-Store,5,13.67,52.0,68.35
ORD1384,2024-10-07 21:09:44.368737,Central,Electronics,Online,42,252.17,41.0,10591.14
ORD1227,2024-06-15 01:00:36.072144,South,Clothing,Online,14,310.49,33.0,4346.86
ORD1273,2024-07-18 16:32:42.324649,West,Clothing,In-Store,47,36.24,40.0,1703.28
ORD1155,2024-04-23 09:02:31.503006,North,Electronics,Online,43,360.23,43.0,15489.89
ORD1443,2024-11-20 00:54:49.779559,East,Home & Garden,In-Store,35,335.34,30.0,11736.9
ORD1189,2024-05-18 05:54:56.993987,East,Home & Garden,In-Store,41,337.36,23.0,13831.76
ORD1211,2024-06-03 08:07:41.723446,West,Sports,In-Store,22,224.14,38.0,4931.08
ORD1170,2024-05-04 08:22:07.454909,North,Home & Garden,Online,32,408.8,34.0,13081.6
ORD1014,2024-01-11 05:46:17.555110,West,Groceries,In-Store,49,442.44,25.0,21679.56
ORD1406,2024-10-23 23:22:29.098196,North,Sports,Online,20,413.44,20.0,8268.8
ORD1437,2024-11-15 15:34:59.398797,East,Electronics,In-Store,37,45.9,18.0,1698.3
ORD1087,2024-03-04 15:17:40.521042,North,Electronics,In-Store,3,83.85,62.0,251.55
ORD1280,2024-07-23 19:25:51.102204,South,Clothing,Online,3,257.31,42.0,771.93
ORD1027,2024-01-20 17:59:16.713426,South,Electronics,Online,30,181.58,59.0,5447.4
ORD1124,2024-03-31 16:50:01.202404,North,Clothing,In-Store,18,424.35,62.0,7638.3
ORD1209,2024-06-01 21:01:04.929859,West,Electronics,Online,37,300.54,42.0,11119.98
ORD1279,2024-07-23 01:52:32.705410,East,Electronics,Online,5,123.33,,616.65
ORD1201,2024-05-27 00:34:37.755511,East,Home & Garden,Online,7,118.97,58.0,832.79
ORD1319,2024-08-21 08:04:48.577154,East,Groceries,In-Store,20,241.73,27.0,4834.6
ORD1239,2024-06-23 19:40:16.833667,Central,Sports,Online,47,30.91,60.0,1452.77
ORD1111,2024-03-22 04:37:02.044088,East,Electronics,Online,15,193.31,63.0,2899.65
ORD1153,2024-04-21 21:55:54.709418,North,Sports,In-Store,41,292.56,56.0,11994.96
ORD1037,2024-01-28 01:32:20.681362,Central,Home & Garden,In-Store,48,65.87,19.0,3161.76
ORD1103,2024-03-16 08:10:34.869739,South,Groceries,In-Store,29,435.11,41.0,12618.19
ORD1230,2024-06-17 05:40:31.262525,South,Sports,In-Store,12,336.45,59.0,4037.4
ORD1460,2024-12-02 11:21:02.525050,North,Groceries,In-Store,24,26.65,,639.6
ORD1469,2024-12-09 01:20:48.096192,West,Sports,In-Store,34,464.52,36.0,15793.68
ORD1288,2024-07-29 15:52:18.276553,East,Electronics,In-Store,24,285.45,21.0,6850.8
ORD1214,2024-06-05 12:47:36.913827,East,Home & Garden,In-Store,32,12.83,61.0,410.56
ORD1359,2024-09-19 14:17:04.448897,Central,Home & Garden,Online,28,205.38,19.0,5750.64
ORD1451,2024-11-25 21:21:16.953907,West,Home & Garden,Online,21,164.5,22.0,3454.5
ORD1385,2024-10-08 14:43:02.765531,North,Clothing,Online,44,136.68,45.0,6013.92
ORD1302,2024-08-08 21:38:35.831663,North,Groceries,Online,27,81.13,39.0,2190.51
ORD1340,2024-09-05 16:44:14.909819,North,Sports,Online,32,311.65,21.0,9972.8
ORD1057,2024-02-11 16:38:28.617234,South,Sports,In-Store,25,268.46,,6711.5
ORD1356,2024-09-17 09:37:09.258517,West,Home & Garden,In-Store,15,424.77,45.0,6371.55
ORD1388,2024-10-10 19:22:57.955911,North,Clothing,Online,11,433.01,54.0,4763.11
ORD1305,2024-08-11 02:18:31.022044,West,Clothing,Online,3,288.66,51.0,865.98
ORD1107,2024-03-19 06:23:48.456913,West,Electronics,In-Store,34,167.55,36.0,5696.7
ORD1271,2024-07-17 05:26:05.531062,North,Electronics,In-Store,29,255.89,22.0,7420.81
ORD1334,2024-09-01 07:24:24.529058,West,Sports,Online,30,196.3,66.0,5889.0
ORD1412,2024-10-28 08:42:19.478957,Central,Home & Garden,In-Store,3,228.06,,684.18
ORD1424,2024-11-06 03:22:00.240480,East,HOME & GARDEN,Online,19,256.75,21.0,4878.25
ORD1411,2024-10-27 15:09:01.082164,South,Home & Garden,In-Store,26,445.25,60.0,11576.5
ORD1203,2024-05-28 11:41:14.549098,North,Groceries,In-Store,41,320.79,63.0,13152.39
ORD1139,2024-04-11 16:09:37.154308,Central,Sports,Online,34,448.87,,15261.58
ORD1136,2024-04-09 11:29:41.963927,West,Electronics,In-Store,29,263.01,28.0,7627.29
ORD1364,2024-09-23 06:03:36.432865,West,Home & Garden,In-Store,32,92.56,61.0,2961.92
ORD1462,2024-12-03 22:27:39.318637,Central,Clothing,Online,32,301.27,45.0,9640.64
ORD1196,2024-05-23 08:48:05.771543,East,Groceries,Online,35,435.28,18.0,15234.8
ORD1251,2024-07-02 14:19:57.595190,West,Groceries,Online,35,207.69,32.0,7269.15
ORD1210,2024-06-02 14:34:23.326653,East,Sports,Online,29,339.54,53.0,9846.66
ORD1237,2024-06-22 08:33:40.040080,West,Groceries,Online,33,231.15,53.0,7627.95
ORD1175,2024-05-08 00:08:39.438877,South,Sports,Online,18,320.8,59.0,5774.4
ORD1040,2024-01-30 06:12:15.871743,West,Electronics,In-Store,15,321.8,30.0,4827.0
ORD1051,2024-02-07 07:18:38.236472,West,Clothing,In-Store,39,164.95,,6433.05
ORD1081,2024-02-29 05:57:50.140280,North,Sports,Online,49,302.3,38.0,14812.7
ORD1369,2024-09-26 21:50:08.416833,Central,Groceries,Online,41,212.2,23.0,8700.2
ORD1043,2024-02-01 10:52:11.062124,South,Groceries,Online,49,48.84,53.0,2393.16
ORD1378,2024-10-03 11:49:53.987975,South,Sports,Online,38,103.43,68.0,3930.34
